t1,t2,seqnr
1678785136811310316,1678785136828093722,0
1678785136911064256,1678785136912760716,1
1678785137010993075,1678785137012771979,2
1678785137110992299,1678785137112719536,3
1678785137210986473,1678785137212762864,4
1678785137310970371,1678785137312772039,5
1678785137410991102,1678785137412774317,6
1678785137510991524,1678785137512772117,7
1678785137610985509,1678785137612760457,8
1678785137710989236,1678785137712766151,9
1678785137810993519,1678785137812771264,10
1678785137910890450,1678785137912773733,11
1678785138010990556,1678785138012774376,12
1678785138110987916,1678785138112760014,13
1678785138210995035,1678785138212765832,14
1678785138310972759,1678785138312772013,15
1678785138410988636,1678785138412771475,16
1678785138511008855,1678785138512772107,17
1678785138611013209,1678785138612772192,18
1678785138710992548,1678785138712772033,19
1678785138810989759,1678785138812771764,20
1678785138910988018,1678785138912772583,21
1678785139010802099,1678785139012775844,22
1678785139110990165,1678785139112720499,23
1678785139210986550,1678785139212763562,24
1678785139310803167,1678785139312771957,25
1678785139410804610,1678785139412772269,26
1678785139510984661,1678785139512773631,27
1678785139610807445,1678785139612773768,28
1678785139710993484,1678785139712774013,29
1678785139810933669,1678785139812773463,30
1678785139910990387,1678785139912771993,31
1678785140010992208,1678785140012773959,32
1678785140110987978,1678785140112759616,33
1678785140210942077,1678785140212764532,34
1678785140311007874,1678785140312780297,35
1678785140410988713,1678785140412772378,36
1678785140510994483,1678785140512773857,37
1678785140611001483,1678785140612773907,38
1678785140710986249,1678785140712774448,39
1678785140810990808,1678785140812774254,40
1678785140910988267,1678785140912773692,41
1678785141010988109,1678785141012773941,42
1678785141110989074,1678785141112720821,43
1678785141210805979,1678785141212766014,44
1678785141311014409,1678785141312771937,45
1678785141411010979,1678785141412774270,46
1678785141510988125,1678785141512774103,47
1678785141610986097,1678785141612773982,48
1678785141710831840,1678785141712774090,49
1678785141810991926,1678785141812773759,50
1678785141910991468,1678785141912774510,51
1678785142010993740,1678785142012773569,52
1678785142110991884,1678785142112726594,53
1678785142210990477,1678785142212773714,54
1678785142311002428,1678785142312772441,55
1678785142410985890,1678785142412773935,56
1678785142510992301,1678785142512773736,57
1678785142610990442,1678785142612774142,58
1678785142710986718,1678785142712774352,59
1678785142810803511,1678785142812774332,60
1678785142910992800,1678785142912773815,61
1678785143010988912,1678785143012775821,62
1678785143110984105,1678785143112721427,63
1678785143210993398,1678785143212764522,64
1678785143310997497,1678785143312774322,65
1678785143410996955,1678785143412776054,66
1678785143510994536,1678785143512774101,67
1678785143610940608,1678785143612773940,68
1678785143710859948,1678785143712774096,69
1678785143810988041,1678785143812773775,70
1678785143910991196,1678785143912773247,71
