t1,t2,seqnr
1678786205267633350,1678786205284752864,0
1678786205367274979,1678786205369187857,1
1678786205467303953,1678786205469187673,2
1678786205567306028,1678786205569162280,3
1678786205667301121,1678786205669146553,4
1678786205767302740,1678786205769135944,5
1678786205867299645,1678786205869137395,6
1678786205967299698,1678786205969142950,7
1678786206067166383,1678786206069153301,8
1678786206167300231,1678786206169155801,9
1678786206267165587,1678786206269155372,10
1678786206367307445,1678786206369155865,11
1678786206467283751,1678786206469184099,12
1678786206567327255,1678786206569159239,13
1678786206667171282,1678786206669150235,14
1678786206767283731,1678786206769147656,15
1678786206867302649,1678786206869153058,16
1678786206967301862,1678786206969148719,17
1678786207067300748,1678786207069183765,18
1678786207167301401,1678786207169160442,19
1678786207267301401,1678786207269152830,20
1678786207367303160,1678786207369149620,21
1678786207467302916,1678786207469149770,22
1678786207567319321,1678786207569146378,23
1678786207667267581,1678786207669137062,24
1678786207767302798,1678786207769146253,25
1678786207867301785,1678786207869155618,26
1678786207967299193,1678786207969153505,27
1678786208067165537,1678786208069154487,28
1678786208167301990,1678786208169155893,29
1678786208267303039,1678786208269158295,30
1678786208367324493,1678786208369155340,31
1678786208467304279,1678786208469182155,32
1678786208567303842,1678786208569150654,33
1678786208667298734,1678786208669151950,34
1678786208767302750,1678786208769147346,35
1678786208867168924,1678786208869150252,36
1678786208967300154,1678786208969149671,37
1678786209067164440,1678786209069149615,38
1678786209167311922,1678786209169149760,39
1678786209267166848,1678786209269150050,40
1678786209367307094,1678786209369149129,41
1678786209467305090,1678786209469182076,42
1678786209567300162,1678786209569150879,43
1678786209667301660,1678786209669152374,44
1678786209767303536,1678786209769149952,45
1678786209867282332,1678786209869150755,46
1678786209967332800,1678786209969140375,47
1678786210067297413,1678786210069141347,48
1678786210167164062,1678786210169144122,49
1678786210267299147,1678786210269140977,50
1678786210367323841,1678786210369140721,51
1678786210467306261,1678786210469187924,52
1678786210567291093,1678786210569162252,53
1678786210667300249,1678786210669146776,54
1678786210767305854,1678786210769149180,55
