t1,t2,seqnr
1678787078441358243,1678787078443389870,0
1678787078541352952,1678787078543379649,1
1678787078641353058,1678787078643379732,2
1678787078741352819,1678787078743379038,3
1678787078841352857,1678787078843379048,4
1678787078941353555,1678787078943379755,5
1678787079041352988,1678787079043379242,6
1678787079141352878,1678787079143378966,7
1678787079241352773,1678787079243378997,8
1678787079341352880,1678787079343379028,9
1678787079441357573,1678787079443383556,10
1678787079541352877,1678787079543379225,11
1678787079641353255,1678787079643379597,12
1678787079741352814,1678787079743379138,13
1678787079841352894,1678787079843379053,14
1678787079941352838,1678787079943379234,15
1678787080041352737,1678787080043379375,16
1678787080141352842,1678787080143378909,17
1678787080241352702,1678787080243378671,18
1678787080341352804,1678787080343378960,19
1678787080441356676,1678787080443382623,20
1678787080541352806,1678787080543379090,21
1678787080641353113,1678787080643379441,22
1678787080741352861,1678787080743379887,23
1678787080841352959,1678787080843379240,24
1678787080941352862,1678787080943379339,25
1678787081041352766,1678787081043379016,26
1678787081141352799,1678787081143378968,27
1678787081241352652,1678787081243378834,28
1678787081341352706,1678787081343378400,29
1678787081441356356,1678787081443382480,30
1678787081541352837,1678787081543379000,31
1678787081641353013,1678787081643379641,32
1678787081741352873,1678787081743379309,33
1678787081841352678,1678787081843378862,34
1678787081941352799,1678787081943379111,35
1678787082041352717,1678787082043378943,36
1678787082141352721,1678787082143378967,37
1678787082241352809,1678787082243379039,38
1678787082341352770,1678787082343378990,39
1678787082441356377,1678787082443382460,40
1678787082541352806,1678787082543379079,41
1678787082641353056,1678787082643379628,42
1678787082741352813,1678787082743379172,43
1678787082841352622,1678787082843378769,44
1678787082941352752,1678787082943379008,45
1678787083041352715,1678787083043378794,46
1678787083141352753,1678787083143378957,47
1678787083241352718,1678787083243378808,48
1678787083341352692,1678787083343378944,49
1678787083441356413,1678787083443382490,50
1678787083541352828,1678787083543378918,51
1678787083641353069,1678787083643379446,52
1678787083741352822,1678787083743379003,53
1678787083841352766,1678787083843378857,54
1678787083941352705,1678787083943379057,55
1678787084041352849,1678787084043379019,56
1678787084141352697,1678787084143378857,57
1678787084241352750,1678787084243378853,58
1678787084341352741,1678787084343378805,59
1678787084441356265,1678787084443382331,60
1678787084541352801,1678787084543378918,61
1678787084641353410,1678787084643380049,62
1678787084741352891,1678787084743379046,63
1678787084841352925,1678787084843379156,64
1678787084941352741,1678787084943378923,65
1678787085041352809,1678787085043378954,66
1678787085141352702,1678787085143378791,67
1678787085241352739,1678787085243378917,68
1678787085341352781,1678787085343379020,69
1678787085441356771,1678787085443382629,70
1678787085541352850,1678787085543378840,71
1678787085641353037,1678787085643379614,72
1678787085741352804,1678787085743378847,73
1678787085841352776,1678787085843378579,74
1678787085941352853,1678787085943379080,75
1678787086041352739,1678787086043378877,76
1678787086141352823,1678787086143379026,77
1678787086241352633,1678787086243378648,78
1678787086341352907,1678787086343379341,79
1678787086441356083,1678787086443382200,80
1678787086541352828,1678787086543379034,81
1678787086641353090,1678787086643379716,82
1678787086741352775,1678787086743378961,83
1678787086841352852,1678787086843379151,84
1678787086941352649,1678787086943378759,85
1678787087041352763,1678787087043378908,86
1678787087141352654,1678787087143378779,87
1678787087241352745,1678787087243378901,88
1678787087341352835,1678787087343379087,89
