t1,t2,seqnr
1678787452268886674,1678787452270918552,1
1678787452368886471,1678787452370913022,2
1678787452468886370,1678787452470912529,3
1678787452568886447,1678787452570912753,4
1678787452668886347,1678787452670912238,5
1678787452768886528,1678787452770912621,6
1678787452868886479,1678787452870912468,7
1678787452968886457,1678787452970912622,8
1678787453068886737,1678787453070912759,9
1678787453268886542,1678787453270912990,11
1678787453368886566,1678787453370912685,12
1678787453468886535,1678787453470912618,13
1678787453568886760,1678787453570912835,14
1678787453668886611,1678787453670912681,15
1678787453768886456,1678787453770912447,16
1678787453868886474,1678787453870912503,17
1678787453968886480,1678787453970912577,18
1678787454068886682,1678787454070912833,19
1678787454268886437,1678787454270912447,21
1678787454368886442,1678787454370912493,22
1678787454468886423,1678787454470912500,23
1678787454568886423,1678787454570912325,24
1678787454668886482,1678787454670912465,25
1678787454768886395,1678787454770912407,26
1678787454868886431,1678787454870912435,27
1678787454968886402,1678787454970912466,28
1678787455068886735,1678787455070912840,29
1678787455268886584,1678787455270912919,31
1678787455368886463,1678787455370912638,32
1678787455468886515,1678787455470912499,33
1678787455568886450,1678787455570911595,34
1678787455668886453,1678787455670912459,35
1678787455768886484,1678787455770912647,36
1678787455868886489,1678787455870912485,37
1678787455968886458,1678787455970912742,38
1678787456068886653,1678787456070912731,39
1678787456168889953,1678787456170916295,40
1678787456268886508,1678787456270912379,41
1678787456368886379,1678787456370912585,42
1678787456468886423,1678787456470912476,43
1678787456568886418,1678787456570912577,44
1678787456668886434,1678787456670912303,45
1678787456768886421,1678787456770911553,46
1678787456868886402,1678787456870912357,47
1678787456968886442,1678787456970912474,48
1678787457068886727,1678787457070912742,49
1678787457268886465,1678787457270912752,51
1678787457368886373,1678787457370912524,52
1678787457468886405,1678787457470912463,53
1678787457568886404,1678787457570912934,54
1678787457668886368,1678787457670912561,55
1678787457768886471,1678787457770912673,56
1678787457868886421,1678787457870912734,57
1678787457968886381,1678787457970912732,58
1678787458068886686,1678787458070912722,59
1678787458168889866,1678787458170915763,60
1678787458268886558,1678787458270912699,61
1678787458368886554,1678787458370912923,62
1678787458468886480,1678787458470912660,63
1678787458568886463,1678787458570912582,64
1678787458668886425,1678787458670912491,65
1678787458768886475,1678787458770912772,66
1678787458868886475,1678787458870912411,67
1678787458968886524,1678787458970912642,68
1678787459068886811,1678787459070913031,69
1678787459168889804,1678787459170916078,70
1678787459268886575,1678787459270912771,71
1678787459368886478,1678787459370912762,72
1678787459468886401,1678787459470912478,73
1678787459568886484,1678787459570912597,74
1678787459668886357,1678787459670912433,75
1678787459768886446,1678787459770912509,76
1678787459868886453,1678787459870912301,77
1678787459968886329,1678787459970912337,78
1678787460068886724,1678787460070912759,79
1678787460168889785,1678787460170916064,80
1678787460268886529,1678787460270912761,81
1678787460368886494,1678787460370912586,82
1678787460468886394,1678787460470912337,83
1678787460568886503,1678787460570912413,84
1678787460668886428,1678787460670912351,85
1678787460768886388,1678787460770912366,86
1678787460868886694,1678787460870912847,87
1678787460968886416,1678787460970912594,88
1678787461068886726,1678787461070912870,89
1678787461168889720,1678787461170915154,90
1678787461268886576,1678787461270912672,91
1678787461368886467,1678787461370912359,92
1678787461468886415,1678787461470911711,93
1678787461568886428,1678787461570912456,94
1678787461668886388,1678787461670912398,95
1678787461768886501,1678787461770912669,96
1678787461868886447,1678787461870912390,97
1678787461968886404,1678787461970912514,98
1678787462068886654,1678787462070912730,99
1678787462268886416,1678787462270912713,101
1678787462368886475,1678787462370912510,102
1678787462468886424,1678787462470912263,103
1678787462568886484,1678787462570912465,104
1678787462668886385,1678787462670912361,105
1678787462768886454,1678787462770912407,106
1678787462868886419,1678787462870912417,107
1678787462968886438,1678787462970912738,108
1678787463068886724,1678787463070913005,109
1678787463168889851,1678787463170916144,110
1678787463268886449,1678787463270912531,111
1678787463368886511,1678787463370912621,112
1678787463468886377,1678787463470912482,113
1678787463568886498,1678787463570912548,114
1678787463668886381,1678787463670912388,115
1678787463768886335,1678787463770912433,116
1678787463868886440,1678787463870912500,117
1678787463968886352,1678787463970912563,118
1678787464068890226,1678787464070916342,119
1678787464168890251,1678787464170916506,120
1678787464268886467,1678787464270912622,121
1678787464368886484,1678787464370912552,122
1678787464468886490,1678787464470912667,123
1678787464568886462,1678787464570912401,124
1678787464668886567,1678787464670912565,125
1678787464768886434,1678787464770912342,126
1678787464868886501,1678787464870912072,127
1678787464968886498,1678787464970912609,128
1678787465068889451,1678787465070915122,129
1678787465168890060,1678787465170916473,130
1678787465268886548,1678787465270912637,131
1678787465368886473,1678787465370912423,132
1678787465468886547,1678787465470912768,133
1678787465568886424,1678787465570912413,134
1678787465668886718,1678787465670912928,135
1678787465768886526,1678787465770912494,136
1678787465868886534,1678787465870912458,137
1678787465968886434,1678787465970912562,138
1678787466068893216,1678787466070919396,139
1678787466168890211,1678787466170916487,140
1678787466268886473,1678787466270912558,141
1678787466368886542,1678787466370912600,142
1678787466468886445,1678787466470912496,143
1678787466568886481,1678787466570912384,144
1678787466668886441,1678787466670912388,145
1678787466768886406,1678787466770912531,146
1678787466868886442,1678787466870912340,147
1678787466968886491,1678787466970912751,148
1678787467068892484,1678787467070918623,149
1678787467168889943,1678787467170916408,150
1678787467268886413,1678787467270912672,151
1678787467368886504,1678787467370912700,152
1678787467468886497,1678787467470912669,153
1678787467568886649,1678787467570912585,154
1678787467668886505,1678787467670912459,155
1678787467768886476,1678787467770913154,156
1678787467868886428,1678787467870912728,157
1678787467968886395,1678787467970912798,158
1678787468068890175,1678787468070916100,159
1678787468168890463,1678787468170916792,160
1678787468268886481,1678787468270912513,161
1678787468368886500,1678787468370912667,162
1678787468468886517,1678787468470912536,163
1678787468568886464,1678787468570912468,164
1678787468668886358,1678787468670912257,165
1678787468768886546,1678787468770912518,166
1678787468868886451,1678787468870912414,167
1678787468968886506,1678787468970912557,168
1678787469068892914,1678787469070919122,169
1678787469268886483,1678787469270912932,171
1678787469368886533,1678787469370912608,172
1678787469468886460,1678787469470912553,173
1678787469568886436,1678787469570912547,174
1678787469668887344,1678787469670913573,175
1678787469768886632,1678787469770912634,176
1678787469868886562,1678787469870912728,177
1678787469968886442,1678787469970912727,178
1678787470068892725,1678787470070919006,179
1678787470168891041,1678787470170917080,180
1678787470268886589,1678787470270912599,181
1678787470368886564,1678787470370911411,182
1678787470468886427,1678787470470912543,183
1678787470568886485,1678787470570912845,184
1678787470668886446,1678787470670912530,185
1678787470768886550,1678787470770912621,186
1678787470868886631,1678787470870912710,187
1678787470968886492,1678787470970912691,188
1678787471068892726,1678787471070918880,189
1678787471168890311,1678787471170916691,190
1678787471268886556,1678787471270912595,191
1678787471368886439,1678787471370912550,192
1678787471468886469,1678787471470912419,193
1678787471568886540,1678787471570912666,194
1678787471668886374,1678787471670912276,195
1678787471768886468,1678787471770912454,196
1678787471868886395,1678787471870912348,197
1678787471968886455,1678787471970912572,198
1678787472068892457,1678787472070918539,199
1678787472268886500,1678787472270912852,201
1678787472368886373,1678787472370912406,202
1678787472468886531,1678787472470912443,203
1678787472568886514,1678787472570912686,204
1678787472668886507,1678787472670912459,205
1678787472768886407,1678787472770912537,206
1678787472868886469,1678787472870912381,207
1678787472968886440,1678787472970912645,208
1678787473068888803,1678787473070914858,209
1678787473168890184,1678787473170916653,210
1678787473268886483,1678787473270912545,211
1678787473368886529,1678787473370912961,212
1678787473468886487,1678787473470912552,213
1678787473568886517,1678787473570912742,214
1678787473668886501,1678787473670912474,215
1678787473768886389,1678787473770912363,216
1678787473868886498,1678787473870912432,217
1678787473968886469,1678787473970912672,218
